customer_id,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,default_next_month,sex_label,education_label,marriage_label,age_band,limit_band,avg_bill_amt,max_bill_amt,min_bill_amt,total_bill_amt,total_payment_amt,avg_payment_amt,avg_utilization,max_utilization,recent_utilization,payment_to_bill_ratio,payment_to_limit_ratio,months_delinquent,max_delinquency,avg_delinquency,recent_delinquency,severe_delinquency_flag,bill_amount_trend,payment_momentum,revolving_balance_flag,low_payment_high_util_flag,young_high_util_flag,avg_bill_amt_winsor,log_avg_bill_amt_abs,max_bill_amt_winsor,log_max_bill_amt_abs,total_bill_amt_winsor,log_total_bill_amt_abs,total_payment_amt_winsor,log_total_payment_amt_abs,avg_payment_amt_winsor,log_avg_payment_amt_abs,predicted_pd,decision,risk_band,ead,expected_loss
6908,50000.0,1,2,2,46,-1,-1,-1,-1,0,0,1540.0,26060.0,0.0,2650.0,3320.0,2764.0,26060.0,0.0,3472.0,2320.0,1764.0,2841.0,0,male,university,single,46_55,limit_q1_low,6055.666666666667,26060.0,0.0,36334.0,36457.0,6076.166666666667,0.12111333333333334,0.5212,0.0308,1.003357644144764,0.72914,0,0,0.0,0,0,-0.02448,0.4291,0,0,0,6055.666666666667,8.708914872722108,26060.0,10.16819522292803,36334.0,10.500536743050736,36457.0,10.503916192092866,6076.166666666667,8.71229385757245,0.12905684064603765,decline_or_review,C_medium,50000.0,2903.7789145358474
24576,150000.0,1,1,1,31,-1,-1,-2,-2,-2,-1,15000.0,0.0,0.0,0.0,0.0,11694.0,0.0,0.0,0.0,0.0,11694.0,30000.0,0,male,graduate_school,married,26_35,limit_q3,4449.0,15000.0,0.0,26694.0,41694.0,6949.0,0.02966,0.1,0.1,1.5618655178872447,0.27796,0,0,0.0,0,0,0.02204,-0.27796,0,0,0,4449.0,8.400659375160286,15000.0,9.61587214452889,26694.0,10.192231560934287,41694.0,10.638136496521085,6949.0,8.846496938558838,0.15870105220412836,decline_or_review,C_medium,150000.0,10712.321023778664
26767,50000.0,1,2,2,25,0,0,0,0,0,0,48065.0,48355.0,49009.0,49949.0,50479.0,50702.0,1800.0,1844.0,2200.0,2000.0,1800.0,2038.0,0,male,university,single,18_25,limit_q2,49426.5,50702.0,48065.0,296559.0,11682.0,1947.0,0.98853,1.01404,0.9613,0.03939169139465876,0.23364,0,0,0.0,0,0,-0.05274,-0.00388,1,1,1,49426.5,10.808262228449035,50702.0,10.833740359426338,296559.0,12.600004837824613,11682.0,9.365890072717148,1947.0,7.5745584842024805,0.1458333585231177,decline_or_review,C_medium,50000.0,3281.2505667701485
2157,290000.0,2,1,2,25,0,0,0,0,0,0,305823.0,303701.0,296384.0,248801.0,241983.0,230925.0,15000.0,10500.0,10000.0,15000.0,7844.0,23333.0,1,female,graduate_school,single,18_25,limit_q5_high,271269.5,305823.0,230925.0,1627617.0,81677.0,13612.833333333334,0.9354120689655172,1.0545620689655173,1.0545620689655173,0.05018192229380604,0.2816448275862069,0,0,0.0,0,0,0.2582689655172414,-0.019575862068965517,1,1,1,271269.5,12.510871757017949,305823.0,12.630765052065906,1627617.0,14.30262815427683,81677.0,11.310539966740528,13612.833333333334,9.518841711633366,0.14194449659535635,decline_or_review,C_medium,290000.0,18523.756805694004
3180,500000.0,2,2,1,27,-2,-2,-2,-2,-2,-2,11354.0,9983.0,13570.0,10000.0,10000.0,10000.0,9983.0,13587.0,10000.0,10000.0,10000.0,25304.0,0,female,university,married,26_35,limit_q5_high,10817.833333333334,13570.0,9983.0,64907.0,78874.0,13145.666666666666,0.021635666666666668,0.02714,0.022708,1.2151660812226537,0.157748,0,0,0.0,0,0,0.002708,-0.023468,0,0,0,10817.833333333334,9.289043721571534,13570.0,9.51569044208137,64907.0,11.080726161659427,78874.0,11.275619599843514,13145.666666666666,9.483923520048462,0.044172802352637326,approve,A_low,500000.0,9938.8805293434
29383,200000.0,1,1,1,29,1,2,0,0,0,0,199417.0,188778.0,195335.0,194775.0,197105.0,204122.0,0.0,8278.0,4100.0,180000.0,202317.0,0.0,0,male,graduate_school,married,26_35,limit_q4,196588.66666666666,204122.0,188778.0,1179532.0,394695.0,65782.5,0.9829433333333333,1.02061,0.997085,0.33461971814268865,1.973475,2,2,0.5,1,0,-0.023525,-0.970195,1,0,1,196588.66666666666,12.188873925123973,204122.0,12.226478032306824,1179532.0,13.980629155395253,270603.9399999998,12.885871127320387,45100.65666666664,11.094124325989474,0.3352894323583475,decline_or_review,D_high,200000.0,30176.04891225128
24455,210000.0,1,2,2,31,0,0,0,0,0,0,189650.0,127111.0,93208.0,88223.0,84175.0,80305.0,5000.0,4200.0,3100.0,3000.0,3100.0,3000.0,0,male,university,single,26_35,limit_q4,110445.33333333333,189650.0,80305.0,662672.0,21400.0,3566.6666666666665,0.5259301587301587,0.9030952380952381,0.9030952380952381,0.03229345393580242,0.1019047619047619,0,0,0.0,0,0,0.5206904761904761,0.014761904761904763,1,1,0,110445.33333333333,11.612285010771938,189650.0,12.152940819974221,662672.0,13.40403693482894,21400.0,9.97119292889014,3566.6666666666665,8.179667066316266,0.12981268739018972,decline_or_review,C_medium,210000.0,12267.298958372929
23887,260000.0,1,3,2,35,0,0,0,0,0,0,33078.0,42056.0,43986.0,45879.0,54264.0,59872.0,10000.0,10000.0,10390.0,10009.0,10000.0,10000.0,0,male,high_school,single,26_35,limit_q4,46522.5,59872.0,33078.0,279135.0,60399.0,10066.5,0.17893269230769232,0.23027692307692307,0.1272230769230769,0.21637839619396995,0.23230384615384617,0,0,0.0,0,0,-0.10305384615384615,0.0,0,0,0,46522.5,10.747712840259918,59872.0,10.999980931232571,279135.0,12.539454397232944,60399.0,11.008744383922906,10066.5,9.217067692725609,0.04154927507722426,approve,A_low,260000.0,4861.265184035238
5505,450000.0,2,1,1,42,-1,-1,-1,-1,-1,-1,72517.0,0.0,6281.0,3446.0,6157.0,0.0,0.0,6281.0,3446.0,6157.0,0.0,14380.0,0,female,graduate_school,married,36_45,limit_q5_high,14733.5,72517.0,0.0,88401.0,30264.0,5044.0,0.03274111111111111,0.1611488888888889,0.1611488888888889,0.3423451958100496,0.06725333333333333,0,0,0.0,0,0,0.1611488888888889,-0.01799777777777778,0,0,0,14733.5,9.597946961783034,72517.0,11.191590085889484,88401.0,11.389649872804195,30264.0,10.317747208325788,5044.0,8.52615293278771,0.07964243945161742,approve,B_watch,450000.0,16127.593988952529
29721,150000.0,1,3,2,39,0,0,0,0,0,0,42029.0,42678.0,11413.0,12418.0,12415.0,13211.0,2100.0,1500.0,1500.0,500.0,1000.0,2300.0,0,male,high_school,single,36_45,limit_q3,22360.666666666668,42678.0,11413.0,134164.0,8900.0,1483.3333333333333,0.14907111111111113,0.28452,0.28019333333333335,0.06633622777922707,0.059333333333333335,0,0,0.0,0,0,0.19212,0.002,0,0,0,22360.666666666668,10.015103462356462,42678.0,10.66146227496313,134164.0,11.80682566473524,8900.0,9.093918908958932,1483.3333333333333,7.302721016653592,0.0651172431972074,approve,B_watch,150000.0,4395.413915811499
6909,90000.0,2,1,1,31,1,2,-1,0,0,-1,8318.0,6111.0,33212.0,8978.0,1782.0,23173.0,39.0,33500.0,0.0,0.0,25000.0,0.0,0,female,graduate_school,married,26_35,limit_q2,13595.666666666666,33212.0,1782.0,81574.0,58539.0,9756.5,0.15106296296296295,0.3690222222222222,0.09242222222222223,0.7176095617529881,0.6504333333333333,2,2,0.5,1,0,-0.16505555555555557,0.09487777777777778,0,0,0,13595.666666666666,9.517579943643494,33212.0,10.410696644527576,81574.0,11.30927812146152,58539.0,10.977465560245877,9756.5,9.18579149905477,0.21124070346445434,decline_or_review,D_high,90000.0,8555.248490310401
2160,220000.0,1,1,1,54,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,male,graduate_school,married,46_55,limit_q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3895046241655957,decline_or_review,E_very_high,220000.0,38560.95779239397
20843,180000.0,1,1,1,40,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,male,graduate_school,married,36_45,limit_q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3060952869924864,decline_or_review,D_high,180000.0,24793.718246391396
25129,290000.0,1,1,1,51,0,0,0,0,0,0,225478.0,225603.0,216488.0,152892.0,150051.0,146287.0,10026.0,10006.0,7000.0,5000.0,5200.0,5500.0,0,male,graduate_school,married,46_55,limit_q5_high,186133.16666666666,225603.0,146287.0,1116799.0,42732.0,7122.0,0.6418385057471264,0.7779413793103448,0.7775103448275862,0.03826289398280802,0.14735172413793104,0,0,0.0,0,0,0.27307241379310343,0.032179310344827586,0,1,0,186133.16666666666,12.134223018829532,225603.0,12.326536528945311,1116799.0,13.925978010990246,42732.0,10.662726734458161,7122.0,8.871084263978354,0.0867394272176048,approve,B_watch,290000.0,11319.495251897428
18809,210000.0,2,1,2,31,0,0,0,0,0,0,10968.0,12480.0,16919.0,11775.0,13275.0,24901.0,2000.0,6016.0,1000.0,1500.0,13000.0,500.0,0,female,graduate_school,single,26_35,limit_q4,15053.0,24901.0,10968.0,90318.0,24016.0,4002.6666666666665,0.07168095238095239,0.11857619047619047,0.05222857142857143,0.2659019696852268,0.11436190476190476,0,0,0.0,0,0,-0.06634761904761904,-0.026114285714285715,0,0,0,15053.0,9.619399015594476,24901.0,10.122703400512357,90318.0,11.411103127017345,24016.0,10.086517191913764,4002.6666666666665,8.29496588688638,0.06866768041213218,approve,B_watch,210000.0,6489.095798946491
19078,90000.0,2,3,1,40,1,2,2,2,2,2,40467.0,41495.0,42520.0,42997.0,41698.0,43976.0,2000.0,2000.0,1800.0,0.0,3434.0,1708.0,0,female,high_school,married,36_45,limit_q2,42192.166666666664,43976.0,40467.0,253153.0,10942.0,1823.6666666666667,0.4688018518518518,0.48862222222222224,0.44963333333333333,0.04322270238668952,0.12157777777777778,6,2,1.8333333333333333,1,0,-0.038988888888888885,-0.012688888888888888,0,0,0,42192.166666666664,10.650013559582284,43976.0,10.69142204895814,253153.0,12.441753278181775,10942.0,9.300455261418444,1823.6666666666667,7.509152600932515,0.5077702200327328,decline_or_review,E_very_high,90000.0,20564.693911325678
24732,500000.0,1,1,2,30,-2,-2,-2,-2,-2,-1,24349.0,9543.0,53947.0,84388.0,26154.0,175790.0,9605.0,54218.0,84839.0,26283.0,175857.0,4914.0,0,male,graduate_school,single,26_35,limit_q5_high,62361.833333333336,175790.0,9543.0,374171.0,355716.0,59286.0,0.12472366666666668,0.35158,0.048698,0.9506750906000448,0.711432,0,0,0.0,0,0,-0.302882,-0.233896,0,0,0,62361.833333333336,11.040724757247546,175790.0,12.07705106838348,374171.0,12.832470863726401,270603.9399999998,12.781890749878553,45100.65666666664,10.990145336669356,0.03506225171190737,approve,A_low,500000.0,7889.0066351791575
3055,350000.0,1,1,1,60,1,-1,-1,-1,-2,-1,0.0,1150.0,4576.0,0.0,0.0,1206.0,1150.0,4576.0,0.0,0.0,1206.0,0.0,1,male,graduate_school,married,56_plus,limit_q5_high,1155.3333333333333,4576.0,0.0,6932.0,6932.0,1155.3333333333333,0.0033009523809523805,0.013074285714285714,0.0,0.9998557622962643,0.019805714285714284,1,1,0.16666666666666666,1,0,-0.003445714285714286,0.012914285714285715,0,0,0,1155.3333333333333,7.05300935830164,4576.0,8.428799040653642,6932.0,8.84404789894249,6932.0,8.84404789894249,1155.3333333333333,7.05300935830164,0.2792913561672797,decline_or_review,D_high,350000.0,43988.38859634655
8489,180000.0,1,1,2,32,0,0,0,0,0,0,154374.0,153018.0,146396.0,136531.0,138502.0,136665.0,7500.0,7000.0,5000.0,5000.0,6000.0,5137.0,0,male,graduate_school,single,26_35,limit_q3,144247.66666666666,154374.0,136531.0,865486.0,35637.0,5939.5,0.8013759259259259,0.8576333333333334,0.8576333333333334,0.04117566179503563,0.19798333333333334,0,0,0.0,0,0,0.09838333333333334,0.018683333333333333,1,1,0,144247.66666666666,11.87929394111561,154374.0,11.947139986364379,865486.0,13.67104763326607,35637.0,10.48116776328736,5939.5,8.689548583898342,0.07851427547654506,approve,B_watch,180000.0,6359.6563136001505
23922,50000.0,1,3,2,23,0,0,-2,-2,-2,-2,4332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,male,high_school,single,18_25,limit_q2,722.0,4332.0,0.0,4332.0,0.0,0.0,0.01444,0.08664,0.08664,0.0,0.0,0,0,0.0,0,0,0.08664,0.0,0,0,0,722.0,6.583409222158765,4332.0,8.374015421739909,4332.0,8.374015421739909,0.0,0.0,0.0,0.0,0.21607599897845278,decline_or_review,D_high,50000.0,4861.709977015187
8788,320000.0,2,2,1,39,0,0,0,0,0,0,38332.0,63396.0,66871.0,69339.0,31525.0,30861.0,30000.0,4700.0,3000.0,5000.0,5000.0,7000.0,0,female,university,married,36_45,limit_q5_high,50054.0,69339.0,30861.0,300324.0,54700.0,9116.666666666666,0.15641875,0.216684375,0.1197875,0.18213601931241155,0.1709375,0,0,0.0,0,0,0.023346875,0.0709375,0,0,0,50054.0,10.820877679853584,69339.0,11.146777219239015,300324.0,12.612620500589577,54700.0,10.909637269778615,9116.666666666666,9.11796920238049,0.03961611599037914,approve,A_low,320000.0,5704.720702614597
15140,410000.0,1,2,1,63,0,0,0,0,0,0,429392.0,425895.0,411492.0,371539.0,308888.0,240970.0,15120.0,16284.0,16524.0,10320.0,8525.0,6739.0,1,male,university,married,56_plus,limit_q5_high,364696.0,429392.0,240970.0,2188176.0,73512.0,12252.0,0.8895024390243902,1.0472975609756097,1.0472975609756097,0.033595088514320366,0.17929756097560975,0,0,0.0,0,0,0.4595658536585366,0.039365853658536586,1,1,0,300288.1933333332,12.80682215082381,370616.1899999982,12.970127862477453,1801729.1599999992,14.598579335047367,73512.0,11.205217540309441,12252.0,9.413526083949446,0.1774316117441005,decline_or_review,C_medium,410000.0,32736.13236678654
12739,80000.0,2,1,2,24,0,0,0,-2,-2,-2,30985.0,44300.0,0.0,0.0,0.0,0.0,14300.0,0.0,0.0,0.0,0.0,0.0,0,female,graduate_school,single,18_25,limit_q2,12547.5,44300.0,0.0,75285.0,14300.0,2383.3333333333335,0.15684375,0.55375,0.3873125,0.18994235315995006,0.17875,0,0,0.0,0,0,0.3873125,0.17875,0,0,0,12547.5,9.437356415504267,44300.0,10.698762529141884,75285.0,11.229049473527398,14300.0,9.568084743872936,2383.3333333333335,7.7766748394402745,0.1423632989348239,decline_or_review,C_medium,80000.0,5125.078761653661
