customer_id,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,default_next_month,sex_label,education_label,marriage_label,age_band,limit_band,avg_bill_amt,max_bill_amt,min_bill_amt,total_bill_amt,total_payment_amt,avg_payment_amt,avg_utilization,max_utilization,recent_utilization,payment_to_bill_ratio,payment_to_limit_ratio,months_delinquent,max_delinquency,avg_delinquency,recent_delinquency,severe_delinquency_flag,bill_amount_trend,payment_momentum,revolving_balance_flag,low_payment_high_util_flag,young_high_util_flag,avg_bill_amt_winsor,log_avg_bill_amt_abs,max_bill_amt_winsor,log_max_bill_amt_abs,total_bill_amt_winsor,log_total_bill_amt_abs,total_payment_amt_winsor,log_total_payment_amt_abs,avg_payment_amt_winsor,log_avg_payment_amt_abs
1,20000.0,2,2,1,24,2,2,-1,-1,-2,-2,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,1,female,university,married,18_25,limit_q1_low,1284.0,3913.0,0.0,7704.0,689.0,114.83333333333333,0.0642,0.19565,0.19565,0.08942245295262817,0.03445,2,2,0.6666666666666666,2,0,0.19565,0.03445,0,0,0,1284.0,7.158513997329321,3913.0,8.272315147956022,7704.0,8.949624747754216,689.0,6.536691597591305,114.83333333333333,4.7521523763367375
2,120000.0,2,2,2,26,-1,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1,female,university,single,26_35,limit_q3,2846.1666666666665,3455.0,1725.0,17077.0,5000.0,833.3333333333334,0.023718055555555555,0.028791666666666667,0.02235,0.29277432954678534,0.041666666666666664,2,2,0.6666666666666666,0,0,-0.004825,-0.008333333333333333,0,0,0,2846.1666666666665,7.954079626719002,3455.0,8.147867129923947,17077.0,9.745546364467552,5000.0,8.517393171418904,833.3333333333334,6.7266330027636645
3,90000.0,2,2,2,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0,female,university,single,26_35,limit_q2,16942.166666666668,29239.0,13559.0,101653.0,11018.0,1836.3333333333333,0.1882462962962963,0.32487777777777777,0.32487777777777777,0.10838727448009916,0.12242222222222222,0,0,0.0,0,0,0.1521111111111111,-0.033133333333333334,0,0,0,16942.166666666668,9.737619885013855,29239.0,10.283292913863715,101653.0,11.529330168995505,11018.0,9.307376334487778,1836.3333333333333,7.516070524025385
4,50000.0,2,2,1,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0,female,university,married,36_45,limit_q1_low,38555.666666666664,49291.0,28314.0,231334.0,8388.0,1398.0,0.7711133333333333,0.98582,0.9398,0.03625910476149307,0.16776,0,0,0.0,0,0,0.34886,0.039,1,1,0,38555.666666666664,10.559884299621338,49291.0,10.805517075058013,231334.0,12.35162215540583,8388.0,9.034676602846295,1398.0,7.243512974665482
5,50000.0,1,2,1,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0,male,university,married,56_plus,limit_q1_low,18223.166666666668,35835.0,5670.0,109339.0,59049.0,9841.5,0.36446333333333336,0.7167,0.17234,0.5400493872324859,1.18098,0,0,0.0,0,0,-0.21028,0.74626,0,0,0,18223.166666666668,9.810503831094369,35835.0,10.486708253717469,109339.0,11.60221757244899,59049.0,10.986139821625509,9841.5,9.194465022817893
6,50000.0,1,1,2,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0,male,graduate_school,single,36_45,limit_q1_low,39685.666666666664,64400.0,19394.0,238114.0,7772.0,1295.3333333333333,0.7937133333333333,1.288,1.288,0.03263969090565483,0.15544,0,0,0.0,0,0,0.88752,0.0503,1,1,0,39685.666666666664,10.588770558039272,64400.0,11.072884439922198,238114.0,12.380509029230643,7772.0,8.958411469230219,1295.3333333333333,7.167295045487638
7,500000.0,1,1,2,29,0,0,0,0,0,0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0,male,graduate_school,single,26_35,limit_q5_high,454099.1666666667,542653.0,367965.0,2724595.0,180759.0,30126.5,0.9081983333333333,1.085306,0.73593,0.0663434138492459,0.361518,0,0,0.0,0,0,-0.211958,0.13496,0,0,1,300288.1933333332,13.026073084112328,370616.1899999982,13.204227195080755,1801729.1599999992,14.81783071820761,180759.0,12.104925463525216,30126.5,10.313193654901546
8,100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0,0,female,university,single,18_25,limit_q2,2247.6666666666665,11876.0,-159.0,13486.0,4791.0,798.5,0.022476666666666666,0.11876,0.11876,0.3552309631496997,0.04791,0,0,0.0,0,0,0.11309,-0.02248,0,0,0,2247.6666666666665,7.718092726953485,11876.0,9.38235903577424,13486.0,9.509481537516857,4791.0,8.474703139795285,798.5,6.683986532274009
9,140000.0,2,3,1,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0,female,high_school,married,26_35,limit_q3,10868.666666666666,14096.0,3719.0,65212.0,6761.0,1126.8333333333333,0.07763333333333333,0.10068571428571428,0.08060714285714286,0.10367564749359791,0.048292857142857144,1,2,0.3333333333333333,0,0,0.05404285714285714,0.009492857142857143,0,0,0,10868.666666666666,9.293731314205012,14096.0,9.553717287770926,65212.0,11.085414114542965,6761.0,8.819073983267831,1126.8333333333333,7.02805366700417
10,20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0,0,male,high_school,single,26_35,limit_q1_low,4486.5,13912.0,0.0,26919.0,14129.0,2354.8333333333335,0.224325,0.6956,0.0,0.524851411589896,0.70645,0,0,0.0,0,0,-0.6956,-0.0561,0,0,0,4486.5,8.409051032796535,13912.0,9.540578933841877,26919.0,10.200624783758665,14129.0,9.556055475678573,2354.8333333333335,7.764649800899636
